Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
28-ago-19;39.320,00;39.500,00;39.500,00;39.100,00;110,45K;1,34%
27-ago-19;38.800,00;39.500,00;39.500,00;38.800,00;399,52K;-1,77%
26-ago-19;39.500,00;39.320,00;39.500,00;38.720,00;51,67K;2,86%
23-ago-19;38.400,00;38.880,00;39.100,00;38.400,00;182,50K;-1,34%
22-ago-19;38.920,00;39.100,00;39.280,00;38.920,00;151,78K;-1,02%
21-ago-19;39.320,00;40.800,00;40.800,00;39.320,00;182,99K;-2,19%
20-ago-19;40.200,00;40.600,00;41.000,00;40.200,00;139,45K;-0,99%
16-ago-19;40.600,00;40.760,00;40.760,00;40.420,00;289,31K;1,50%
15-ago-19;40.000,00;39.620,00;40.600,00;39.320,00;220,64K;1,21%
14-ago-19;39.520,00;40.580,00;40.600,00;39.520,00;144,06K;-2,80%
13-ago-19;40.660,00;40.000,00;40.860,00;40.000,00;372,76K;2,52%
12-ago-19;39.660,00;39.600,00;39.980,00;39.600,00;135,76K;-0,35%
9-ago-19;39.800,00;38.720,00;39.900,00;38.720,00;237,38K;0,71%
8-ago-19;39.520,00;38.500,00;39.600,00;38.500,00;520,23K;2,12%
6-ago-19;38.700,00;37.640,00;39.500,00;37.640,00;354,49K;2,82%
5-ago-19;37.640,00;38.280,00;38.800,00;37.500,00;150,18K;-2,99%
2-ago-19;38.800,00;37.900,00;39.000,00;37.820,00;215,18K;2,37%
1-ago-19;37.900,00;39.240,00;39.240,00;37.900,00;100,76K;-3,56%
31-jul-19;39.300,00;38.900,00;39.300,00;38.640,00;329,21K;1,08%
30-jul-19;38.880,00;38.900,00;38.900,00;38.640,00;22,25K;-0,05%
29-jul-19;38.900,00;39.060,00;39.060,00;38.800,00;102,00K;-0,56%
26-jul-19;39.120,00;39.500,00;39.500,00;38.820,00;104,38K;0,31%
25-jul-19;39.000,00;38.820,00;39.200,00;38.820,00;132,09K;-0,76%
24-jul-19;39.300,00;39.600,00;39.720,00;39.300,00;47,09K;-1,16%
23-jul-19;39.760,00;39.020,00;39.760,00;39.000,00;329,86K;1,74%
22-jul-19;39.080,00;39.220,00;39.700,00;39.080,00;91,56K;-1,06%
19-jul-19;39.500,00;38.920,00;39.500,00;38.760,00;124,83K;1,96%
18-jul-19;38.740,00;39.760,00;39.760,00;38.520,00;211,59K;-2,57%
17-jul-19;39.760,00;39.880,00;40.000,00;39.760,00;36,19K;-0,50%
16-jul-19;39.960,00;39.480,00;39.960,00;39.320,00;184,80K;1,42%
15-jul-19;39.400,00;39.000,00;39.460,00;39.000,00;329,93K;0,00%
12-jul-19;39.400,00;39.000,00;39.400,00;38.800,00;118,07K;1,03%
11-jul-19;39.000,00;38.860,00;39.000,00;38.800,00;263,17K;0,52%
10-jul-19;38.800,00;38.780,00;38.860,00;38.500,00;894,02K;0,05%
9-jul-19;38.780,00;38.620,00;38.780,00;38.500,00;92,25K;0,36%
