Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
2022-08-31;34.200,00;35.750,00;35.760,00;34.200,00;1,18M;-7,52%
2022-08-30;36.980,00;37.000,00;37.000,00;35.550,00;176,96K;-0,19%
2022-08-29;37.050,00;36.890,00;37.550,00;36.710,00;168,80K;-2,37%
2022-08-26;37.950,00;37.800,00;37.950,00;37.030,00;128,76K;0,40%
2022-08-25;37.800,00;36.450,00;37.970,00;34.000,00;141,41K;3,56%
2022-08-24;36.500,00;37.390,00;37.390,00;35.560,00;87,51K;0,00%
2022-08-23;36.500,00;37.200,00;37.290,00;36.120,00;196,55K;-0,87%
2022-08-22;36.820,00;37.990,00;37.990,00;36.430,00;63,46K;-3,11%
2022-08-19;38.000,00;38.500,00;38.500,00;38.000,00;90,63K;-2,44%
2022-08-18;38.950,00;39.000,00;39.000,00;38.500,00;79,01K;-0,13%
2022-08-17;39.000,00;39.490,00;39.490,00;38.540,00;61,33K;-1,52%
2022-08-16;39.600,00;39.450,00;40.380,00;39.450,00;414,06K;-0,75%
2022-08-12;39.900,00;38.090,00;39.900,00;38.090,00;154,25K;4,75%
2022-08-11;38.090,00;37.800,00;38.090,00;37.600,00;152,71K;1,03%
2022-08-10;37.700,00;37.500,00;38.300,00;37.140,00;153,35K;0,53%
2022-08-09;37.500,00;37.980,00;39.630,00;37.220,00;150,90K;-1,26%
2022-08-08;37.980,00;36.650,00;37.980,00;36.650,00;127,27K;2,65%
2022-08-05;37.000,00;36.380,00;37.000,00;35.830,00;54,19K;0,82%
2022-08-04;36.700,00;35.400,00;36.700,00;35.000,00;406,96K;5,22%
2022-08-03;34.880,00;34.800,00;35.690,00;34.550,00;176,17K;0,26%
2022-08-02;34.790,00;34.990,00;35.200,00;34.500,00;232,11K;0,00%
2022-08-01;34.790,00;35.030,00;35.030,00;34.420,00;137,31K;-3,33%
2022-07-29;35.990,00;37.660,00;37.660,00;35.990,00;161,31K;-5,29%
2022-07-28;38.000,00;35.780,00;38.000,00;35.750,00;76,24K;5,88%
2022-07-27;35.890,00;35.900,00;35.900,00;35.500,00;34,86K;0,59%
2022-07-26;35.680,00;35.250,00;35.680,00;34.600,00;27,36K;3,36%
2022-07-25;34.520,00;35.000,00;35.350,00;34.520,00;35,37K;-2,29%
2022-07-22;35.330,00;35.500,00;35.500,00;35.000,00;313,39K;0,94%
2022-07-21;35.000,00;34.620,00;35.000,00;34.280,00;135,31K;0,00%
2022-07-19;35.000,00;34.100,00;35.000,00;34.000,00;140,71K;1,45%
2022-07-18;34.500,00;32.000,00;34.600,00;32.000,00;87,67K;3,36%
2022-07-15;33.380,00;33.030,00;33.380,00;31.910,00;112,73K;1,15%
2022-07-14;33.000,00;33.680,00;33.680,00;31.600,00;189,36K;-1,87%
2022-07-13;33.630,00;35.000,00;35.100,00;33.630,00;53,80K;-4,73%
2022-07-12;35.300,00;35.270,00;35.700,00;34.640,00;157,86K;0,89%
2022-07-11;34.990,00;35.000,00;35.500,00;34.600,00;127,83K;-1,41%
2022-07-08;35.490,00;35.500,00;35.680,00;34.610,00;41,24K;0,60%
2022-07-07;35.280,00;35.110,00;35.330,00;34.510,00;84,95K;0,80%
2022-07-06;35.000,00;35.000,00;35.710,00;34.500,00;401,93K;0,00%
2022-07-05;35.000,00;34.300,00;35.330,00;34.000,00;503,84K;2,64%
2022-07-01;34.100,00;34.650,00;34.650,00;33.740,00;742,29K;1,67%
2022-06-30;33.540,00;35.690,00;35.690,00;33.540,00;679,07K;-4,31%
2022-06-29;35.050,00;36.400,00;36.400,00;34.990,00;934,79K;-3,71%
2022-06-28;36.400,00;37.000,00;37.480,00;36.320,00;192,87K;-1,62%
2022-06-24;37.000,00;37.400,00;37.690,00;37.000,00;358,51K;0,00%
2022-06-23;37.000,00;37.700,00;37.940,00;36.900,00;189,28K;-2,12%
2022-06-22;37.800,00;39.500,00;39.500,00;37.800,00;179,82K;-1,82%
2022-06-21;38.500,00;39.000,00;39.000,00;36.780,00;97,57K;-2,78%
2022-06-17;39.600,00;40.000,00;40.900,00;39.600,00;1,06M;-2,22%
2022-06-16;40.500,00;40.890,00;41.130,00;40.080,00;99,77K;-1,03%
2022-06-15;40.920,00;41.900,00;42.400,00;40.920,00;146,85K;-2,34%
2022-06-14;41.900,00;41.250,00;41.900,00;40.000,00;144,38K;4,23%
2022-06-13;40.200,00;41.800,00;43.170,00;40.200,00;102,91K;-7,59%
2022-06-10;43.500,00;42.430,00;43.500,00;42.310,00;193,30K;1,99%
2022-06-09;42.650,00;42.200,00;42.730,00;42.190,00;110,67K;0,88%
2022-06-08;42.280,00;42.790,00;42.790,00;41.910,00;140,68K;-1,21%
2022-06-07;42.800,00;44.000,00;44.000,00;42.800,00;126,82K;-2,73%
2022-06-06;44.000,00;43.480,00;44.000,00;43.200,00;170,32K;2,11%
2022-06-03;43.090,00;44.000,00;44.000,00;43.090,00;63,44K;-1,69%
2022-06-02;43.830,00;44.360,00;44.400,00;43.640,00;113,91K;0,67%
2022-06-01;43.540,00;45.290,00;45.600,00;43.540,00;312,72K;-3,93%
2022-05-31;45.320,00;43.950,00;45.700,00;43.950,00;3,87M;3,12%
2022-05-27;43.950,00;41.110,00;44.000,00;41.110,00;337,87K;4,67%
2022-05-26;41.990,00;41.440,00;42.420,00;41.440,00;224,72K;1,94%
2022-05-25;41.190,00;40.970,00;42.190,00;40.970,00;237,53K;0,66%
2022-05-24;40.920,00;39.470,00;40.920,00;39.140,00;277,27K;3,81%
2022-05-23;39.420,00;39.190,00;39.420,00;38.700,00;264,74K;2,39%
2022-05-20;38.500,00;36.290,00;38.500,00;36.000,00;604,12K;10,00%
2022-05-19;35.000,00;37.320,00;37.330,00;35.000,00;664,24K;-6,17%
2022-05-18;37.300,00;38.630,00;38.630,00;37.270,00;331,87K;-3,44%
2022-05-17;38.630,00;38.330,00;39.180,00;38.330,00;186,28K;0,78%
2022-05-16;38.330,00;39.590,00;39.840,00;38.330,00;324,33K;-2,12%
2022-05-13;39.160,00;39.730,00;39.960,00;39.010,00;455,83K;0,33%
2022-05-12;39.030,00;39.600,00;39.740,00;39.000,00;1,23M;-0,18%
2022-05-11;39.100,00;39.500,00;40.100,00;39.100,00;339,28K;-1,01%
2022-05-10;39.500,00;39.010,00;40.090,00;39.010,00;344,69K;0,89%
2022-05-09;39.150,00;40.900,00;40.900,00;39.110,00;77,52K;-1,63%
2022-05-06;39.800,00;41.340,00;41.500,00;39.800,00;187,46K;-3,73%
2022-05-05;41.340,00;41.810,00;42.100,00;41.340,00;142,20K;-1,81%
2022-05-04;42.100,00;41.160,00;42.420,00;41.000,00;119,43K;2,31%
2022-05-02;41.150,00;42.480,00;42.480,00;40.500,00;132,29K;6,00%
2022-04-29;38.820,00;42.490,00;42.560,00;38.820,00;74,98K;-7,57%
2022-04-28;42.000,00;42.780,00;43.400,00;41.490,00;89,15K;0,24%
2022-04-27;41.900,00;41.420,00;42.400,00;41.300,00;83,58K;2,44%
2022-04-26;40.900,00;41.170,00;42.220,00;40.900,00;361,11K;-0,24%
2022-04-25;41.000,00;42.550,00;42.550,00;41.000,00;322,53K;-5,31%
2022-04-22;43.300,00;44.000,00;44.500,00;43.000,00;358,64K;0,70%
2022-04-21;43.000,00;43.400,00;44.320,00;43.000,00;183,63K;-3,37%
2022-04-20;44.500,00;43.360,00;44.500,00;42.950,00;222,83K;3,49%
2022-04-19;43.000,00;43.690,00;43.690,00;42.700,00;231,19K;-0,58%
2022-04-18;43.250,00;43.700,00;43.800,00;43.250,00;75,38K;-1,03%
2022-04-13;43.700,00;43.590,00;43.700,00;42.820,00;207,92K;2,13%
2022-04-12;42.790,00;43.800,00;44.000,00;42.790,00;192,36K;-2,31%
2022-04-11;43.800,00;42.550,00;43.800,00;42.550,00;63,57K;2,94%
2022-04-08;42.550,00;43.800,00;43.800,00;42.550,00;264,28K;-2,85%
