Fecha;Último;Apertura;Máximo;Mínimo;Vol.;% var.
1-ago-22;2.257,00;2.285,00;2.485,00;2.200,00;23,85M;-1,01%
1-jul-22;2.280,00;2.270,00;2.390,00;2.060,00;7,96M;1,20%
1-jun-22;2.253,00;3.230,00;3.320,00;2.005,00;260,01M;-27,79%
1-may-22;3.120,00;3.200,00;3.480,00;2.740,00;226,20M;-2,68%
1-abr-22;3.206,00;3.533,00;3.660,00;3.192,00;180,95M;-9,38%
1-mar-22;3.538,00;3.250,00;3.610,00;3.066,00;316,04M;8,43%
1-feb-22;3.263,00;2.905,00;3.263,00;2.817,00;216,80M;12,32%
1-ene-22;2.905,00;2.651,00;3.080,00;2.605,00;204,08M;7,99%
1-dic-21;2.690,00;2.600,00;2.735,00;2.555,00;91,66M;3,46%
1-nov-21;2.600,00;2.869,00;2.956,00;2.503,00;156,46M;-8,68%
1-oct-21;2.847,00;2.725,00;2.990,00;2.720,00;179,94M;4,13%
1-sep-21;2.734,00;2.622,00;2.761,00;2.501,00;198,97M;3,44%
1-ago-21;2.643,00;2.633,00;2.690,00;2.470,00;194,00M;0,38%
1-jul-21;2.633,00;2.760,00;2.875,00;2.440,00;140,19M;-3,27%
1-jun-21;2.722,00;2.245,00;2.790,00;2.230,00;150,99M;24,29%
1-may-21;2.190,00;2.200,00;2.418,00;2.151,00;153,26M;-0,90%
1-abr-21;2.210,00;2.333,00;2.374,00;2.210,00;167,81M;-6,59%
1-mar-21;2.366,00;2.265,00;2.480,00;2.240,00;235,20M;5,16%
1-feb-21;2.250,00;2.068,00;2.349,00;2.028,00;212,26M;10,84%
1-ene-21;2.030,00;2.245,00;2.491,00;2.030,00;248,14M;-9,58%
1-dic-20;2.245,00;2.106,00;2.380,00;2.102,00;225,78M;7,88%
1-nov-20;2.081,00;1.795,00;2.260,00;1.795,00;239,84M;16,19%
1-oct-20;1.791,00;1.880,00;1.972,00;1.615,00;174,91M;-5,49%
1-sep-20;1.895,00;2.155,00;2.210,00;1.880,00;252,77M;-13,47%
1-ago-20;2.190,00;2.150,00;2.270,00;2.100,00;152,07M;5,29%
1-jul-20;2.080,00;2.105,00;2.265,00;2.020,00;155,87M;0,24%
1-jun-20;2.075,00;1.945,00;2.430,00;1.945,00;193,65M;4,27%
1-may-20;1.990,00;2.000,00;2.085,00;1.855,00;166,99M;-4,78%
1-abr-20;2.090,00;1.900,00;2.400,00;1.750,00;231,48M;10,00%
1-mar-20;1.900,00;3.140,00;3.195,00;1.300,00;269,62M;-38,81%
1-feb-20;3.105,00;3.160,00;3.495,00;3.000,00;184,15M;-2,36%
1-ene-20;3.180,00;3.315,00;3.435,00;3.140,00;161,13M;-4,07%
1-dic-19;3.315,00;3.250,00;3.370,00;3.175,00;99,96M;0,76%
1-nov-19;3.290,00;3.055,00;3.290,00;3.035,00;125,17M;8,22%
1-oct-19;3.040,00;2.985,00;3.090,00;2.870,00;122,78M;3,05%
1-sep-19;2.950,00;2.715,00;3.050,00;2.655,00;200,62M;7,66%
1-ago-19;2.740,00;2.970,00;2.985,00;2.615,00;184,23M;-6,80%
1-jul-19;2.940,00;2.920,00;3.110,00;2.895,00;167,57M;0,68%
1-jun-19;2.920,00;2.785,00;3.030,00;2.725,00;133,09M;5,61%
1-may-19;2.765,00;2.975,00;3.120,00;2.740,00;200,10M;-7,37%
1-abr-19;2.985,00;3.460,00;3.465,00;2.965,00;173,88M;-12,59%
1-mar-19;3.415,00;3.100,00;3.570,00;3.080,00;181,83M;9,46%
1-feb-19;3.120,00;2.920,00;3.280,00;2.825,00;188,94M;6,85%
1-ene-19;2.920,00;2.620,00;2.970,00;2.540,00;175,55M;10,40%
1-dic-18;2.645,00;3.160,00;3.300,00;2.520,00;133,53M;-14,81%
1-nov-18;3.105,00;3.700,00;3.740,00;2.990,00;218,81M;-16,98%
1-oct-18;3.740,00;4.040,00;4.190,00;3.635,00;272,90M;-7,20%
1-sep-18;4.030,00;3.400,00;4.030,00;3.350,00;287,92M;17,84%
1-ago-18;3.420,00;3.055,00;3.455,00;2.985,00;193,33M;11,40%
1-jul-18;3.070,00;3.025,00;3.095,00;2.850,00;161,86M;1,49%
1-jun-18;3.025,00;3.080,00;3.125,00;2.800,00;211,31M;-2,10%
1-may-18;3.090,00;3.060,00;3.315,00;2.855,00;354,93M;-0,32%
1-abr-18;3.100,00;2.645,00;3.145,00;2.645,00;387,33M;18,55%
1-mar-18;2.615,00;2.500,00;2.810,00;2.415,00;315,66M;4,18%
1-feb-18;2.510,00;2.655,00;2.770,00;2.315,00;434,33M;-5,64%
1-ene-18;2.660,00;2.200,00;2.860,00;2.175,00;472,22M;20,36%
1-dic-17;2.210,00;1.755,00;2.210,00;1.755,00;191,93M;26,29%
1-nov-17;1.750,00;1.690,00;1.850,00;1.675,00;312,53M;5,11%
1-oct-17;1.665,00;1.395,00;1.690,00;1.380,00;333,29M;18,93%
1-sep-17;1.400,00;1.360,00;1.420,00;1.345,00;208,65M;2,19%
1-ago-17;1.370,00;1.385,00;1.400,00;1.340,00;173,48M;-1,79%
1-jul-17;1.395,00;1.390,00;1.405,00;1.345,00;144,55M;1,09%
1-jun-17;1.380,00;1.335,00;1.400,00;1.320,00;229,34M;3,37%
1-may-17;1.335,00;1.350,00;1.485,00;1.310,00;395,79M;-1,84%
1-abr-17;1.360,00;1.345,00;1.400,00;1.330,00;244,46M;0,74%
1-mar-17;1.350,00;1.325,00;1.350,00;1.275,00;204,22M;2,27%
1-feb-17;1.320,00;1.375,00;1.395,00;1.305,00;238,15M;-4,00%
1-ene-17;1.375,00;1.370,00;1.425,00;1.360,00;187,92M;-0,36%
1-dic-16;1.380,00;1.330,00;1.400,00;1.300,00;172,59M;4,55%
1-nov-16;1.320,00;1.325,00;1.335,00;1.230,00;203,59M;0,76%
1-oct-16;1.310,00;1.250,00;1.385,00;1.200,00;209,44M;4,80%
1-sep-16;1.250,00;1.310,00;1.400,00;1.160,00;288,05M;-5,30%
1-ago-16;1.320,00;1.280,00;1.340,00;1.200,00;199,27M;1,54%
1-jul-16;1.300,00;1.385,00;1.415,00;1.285,00;168,13M;-6,81%
1-jun-16;1.395,00;1.335,00;1.465,00;1.320,00;219,49M;4,10%
1-may-16;1.340,00;1.410,00;1.470,00;1.330,00;268,96M;-5,30%
1-abr-16;1.415,00;1.280,00;1.485,00;1.220,00;396,12M;8,02%
1-mar-16;1.310,00;1.155,00;1.435,00;1.145,00;434,08M;14,91%
1-feb-16;1.140,00;1.000,00;1.195,00;975;431,02M;10,68%
1-ene-16;1.030,00;1.120,00;1.140,00;880;213,16M;-7,21%
1-dic-15;1.110,00;1.310,00;1.320,00;1.080,00;129,64M;-14,94%
1-nov-15;1.305,00;1.385,00;1.425,00;1.290,00;199,02M;-3,33%
1-oct-15;1.350,00;1.335,00;1.535,00;1.305,00;199,68M;1,50%
1-sep-15;1.330,00;1.550,00;1.565,00;1.285,00;180,13M;-16,61%
1-ago-15;1.595,00;1.605,00;1.605,00;1.395,00;202,05M;-0,93%
1-jul-15;1.610,00;1.715,00;1.725,00;1.545,00;217,22M;-6,94%
1-jun-15;1.730,00;1.825,00;1.870,00;1.625,00;202,89M;-4,68%
1-may-15;1.815,00;2.030,00;2.105,00;1.800,00;185,76M;-10,59%
1-abr-15;2.030,00;1.980,00;2.110,00;1.975,00;194,65M;2,78%
1-mar-15;1.975,00;2.095,00;2.095,00;1.750,00;248,39M;-5,28%
1-feb-15;2.085,00;1.960,00;2.335,00;1.960,00;267,48M;6,65%
1-ene-15;1.955,00;2.060,00;2.075,00;1.795,00;206,34M;-6,01%
1-dic-14;2.080,00;2.280,00;2.310,00;1.750,00;201,01M;-9,17%
1-nov-14;2.290,00;2.730,00;2.760,00;2.230,00;196,41M;-16,73%
1-oct-14;2.750,00;3.155,00;3.175,00;2.730,00;192,93M;-13,11%
1-sep-14;3.165,00;3.320,00;3.420,00;3.165,00;127,84M;-4,81%
1-ago-14;3.325,00;3.165,00;3.335,00;3.090,00;166,91M;4,56%
1-jul-14;3.180,00;3.410,00;3.410,00;3.100,00;182,84M;-6,74%
1-jun-14;3.410,00;3.475,00;3.670,00;3.360,00;134,59M;-0,58%
1-may-14;3.430,00;3.550,00;3.655,00;3.415,00;130,64M;-4,85%
1-abr-14;3.605,00;4.025,00;4.060,00;3.445,00;186,96M;-10,55%
1-mar-14;4.030,00;3.495,00;4.030,00;3.430,00;137,46M;15,14%
1-feb-14;3.500,00;3.520,00;3.770,00;3.395,00;165,91M;-0,57%
1-ene-14;3.520,00;3.700,00;3.715,00;3.330,00;174,52M;-4,86%
1-dic-13;3.700,00;3.955,00;4.190,00;3.660,00;159,22M;-5,97%
1-nov-13;3.935,00;4.500,00;4.510,00;3.880,00;106,53M;-12,56%
1-oct-13;4.500,00;4.360,00;4.610,00;4.315,00;112,91M;2,74%
1-sep-13;4.380,00;4.330,00;4.525,00;4.330,00;103,53M;1,04%
1-ago-13;4.335,00;4.300,00;4.500,00;4.200,00;133,06M;0,00%
1-jul-13;4.335,00;4.100,00;4.410,00;3.875,00;142,83M;6,25%
1-jun-13;4.080,00;4.100,00;4.180,00;3.845,00;132,97M;0,00%
1-may-13;4.080,00;4.330,00;4.380,00;3.905,00;177,55M;-7,06%
1-abr-13;4.390,00;5.030,00;5.050,00;4.225,00;241,64M;-13,07%
1-mar-13;5.050,00;5.200,00;5.220,00;4.895,00;131,22M;-3,07%
1-feb-13;5.210,00;5.650,00;5.740,00;5.120,00;164,88M;-7,79%
1-ene-13;5.650,00;5.460,00;5.650,00;5.330,00;106,18M;3,48%
1-dic-12;5.460,00;5.300,00;5.500,00;5.200,00;93,81M;3,21%
1-nov-12;5.290,00;5.450,00;5.450,00;5.110,00;102,54M;-2,94%
1-oct-12;5.450,00;5.290,00;5.790,00;5.250,00;145,18M;2,83%
1-sep-12;5.300,00;5.250,00;5.370,00;5.130,00;105,86M;0,57%
1-ago-12;5.270,00;5.160,00;5.480,00;5.060,00;120,69M;2,33%
1-jul-12;5.150,00;5.000,00;5.220,00;4.870,00;161,46M;3,31%
1-jun-12;4.985,00;5.420,00;5.470,00;4.760,00;155,35M;-8,53%
1-may-12;5.450,00;5.750,00;5.930,00;5.210,00;232,27M;-4,39%
1-abr-12;5.700,00;5.420,00;5.800,00;5.220,00;196,59M;4,97%
1-mar-12;5.430,00;5.170,00;5.540,00;5.100,00;206,10M;4,22%
1-feb-12;5.210,00;4.620,00;5.210,00;4.565,00;289,24M;13,26%
1-ene-12;4.600,00;4.200,00;4.645,00;4.170,00;246,46M;9,13%
1-dic-11;4.215,00;4.085,00;4.305,00;4.000,00;171,65M;2,80%
1-nov-11;4.100,00;3.990,00;4.100,00;3.850,00;135,01M;2,50%
1-oct-11;4.000,00;3.870,00;4.085,00;3.700,00;154,96M;3,63%
1-sep-11;3.860,00;3.875,00;4.175,00;3.760,00;147,54M;0,13%
1-ago-11;3.855,00;3.735,00;3.900,00;3.580,00;223,64M;3,21%
1-jul-11;3.735,00;3.840,00;3.895,00;3.550,00;135,05M;-2,73%
1-jun-11;3.840,00;4.060,00;4.080,00;3.740,00;139,34M;-5,07%
1-may-11;4.045,00;3.840,00;4.055,00;3.710,00;137,38M;6,45%
1-abr-11;3.800,00;3.900,00;3.920,00;3.585,00;75,12M;-2,19%
1-mar-11;3.885,00;3.985,00;4.110,00;3.735,00;143,22M;-2,02%
1-feb-11;3.965,00;3.990,00;4.045,00;3.735,00;123,55M;-0,13%
1-ene-11;3.970,00;4.100,00;4.100,00;3.800,00;96,77M;-3,17%
