CodigoEstacion;NombreEstacion;Latitud;Longitud;Altitud;Categoria;Entidad;AreaOperativa;Departamento;Municipio;FechaInstalacion;FechaSuspension;IdParametro;Etiqueta;DescripcionSerie;Frecuencia;Fecha;Valor;Grado;Calificador;NivelAprobacion
21201300;AUSTRALIA [21201300];4.394.250;-741.320;3050;Pluviométrica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 11 - Cundinamarca-Amazonas-San Andrés;Bogota;Bogota, D.C;15/03/1985 0:00;;PRECIPITACION;PTPM_TT_M;Precipitación total mensual;Mensual;1/07/2003;128.9;50;;900
21201300;AUSTRALIA [21201300];4.394.250;-741.320;3050;Pluviométrica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 11 - Cundinamarca-Amazonas-San Andrés;Bogota;Bogota, D.C;15/03/1985 0:00;;PRECIPITACION;PTPM_TT_M;Precipitación total mensual;Mensual;1/08/2003;83;50;;900
21201300;AUSTRALIA [21201300];4.394.250;-741.320;3050;Pluviométrica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 11 - Cundinamarca-Amazonas-San Andrés;Bogota;Bogota, D.C;15/03/1985 0:00;;PRECIPITACION;PTPM_TT_M;Precipitación total mensual;Mensual;1/09/2003;90.5;50;;900
21201300;AUSTRALIA [21201300];4.394.250;-741.320;3050;Pluviométrica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 11 - Cundinamarca-Amazonas-San Andrés;Bogota;Bogota, D.C;15/03/1985 0:00;;PRECIPITACION;PTPM_TT_M;Precipitación total mensual;Mensual;1/10/2003;98.4;50;;900
21201300;AUSTRALIA [21201300];4.394.250;-741.320;3050;Pluviométrica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 11 - Cundinamarca-Amazonas-San Andrés;Bogota;Bogota, D.C;15/03/1985 0:00;;PRECIPITACION;PTPM_TT_M;Precipitación total mensual;Mensual;1/11/2003;111.8;50;;900
21201300;AUSTRALIA [21201300];4.394.250;-741.320;3050;Pluviométrica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 11 - Cundinamarca-Amazonas-San Andrés;Bogota;Bogota, D.C;15/03/1985 0:00;;PRECIPITACION;PTPM_TT_M;Precipitación total mensual;Mensual;1/12/2003;40.9;50;;900
21201300;AUSTRALIA [21201300];4.394.250;-741.320;3050;Pluviométrica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 11 - Cundinamarca-Amazonas-San Andrés;Bogota;Bogota, D.C;15/03/1985 0:00;;PRECIPITACION;PTPM_TT_M;Precipitación total mensual;Mensual;1/01/2004;7.8;50;;900
21201300;AUSTRALIA [21201300];4.394.250;-741.320;3050;Pluviométrica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 11 - Cundinamarca-Amazonas-San Andrés;Bogota;Bogota, D.C;15/03/1985 0:00;;PRECIPITACION;PTPM_TT_M;Precipitación total mensual;Mensual;1/02/2004;51.8;50;;900
21201300;AUSTRALIA [21201300];4.394.250;-741.320;3050;Pluviométrica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 11 - Cundinamarca-Amazonas-San Andrés;Bogota;Bogota, D.C;15/03/1985 0:00;;PRECIPITACION;PTPM_TT_M;Precipitación total mensual;Mensual;1/03/2004;58.3;50;;900
21201300;AUSTRALIA [21201300];4.394.250;-741.320;3050;Pluviométrica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 11 - Cundinamarca-Amazonas-San Andrés;Bogota;Bogota, D.C;15/03/1985 0:00;;PRECIPITACION;PTPM_TT_M;Precipitación total mensual;Mensual;1/04/2004;97.9;50;;900
21201300;AUSTRALIA [21201300];4.394.250;-741.320;3050;Pluviométrica;INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES;Area Operativa 11 - Cundinamarca-Amazonas-San Andrés;Bogota;Bogota, D.C;15/03/1985 0:00;;PRECIPITACION;PTPM_TT_M;Precipitación total mensual;Mensual;1/05/2004;180.1;50;;900
