"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01 may 2009","2.385,0","2.140,0","2.410,0","2.130,0","227,55M","12,50%"
"01 abr 2009","2.120,0","2.135,0","2.195,0","2.085,0","131,61M","-0,93%"
"01 mar 2009","2.140,0","2.120,0","2.160,0","2.040,0","211,58M","1,66%"
"01 feb 2009","2.105,0","2.030,0","2.175,0","2.000,0","237,61M","3,19%"
"01 ene 2009","2.040,0","2.005,0","2.095,0","1.960,0","179,27M","1,75%"
"01 dic 2008","2.005,0","1.990,0","2.150,0","1.940,0","333,81M","-0,25%"
"01 nov 2008","2.010,0","1.995,0","2.085,0","1.810,0","333,37M","1,52%"
"01 oct 2008","1.980,0","2.560,0","2.605,0","1.760,0","613,16M","-22,81%"
"01 sept 2008","2.565,0","2.715,0","2.895,0","2.450,0","550,24M","-1,91%"
"01 ago 2008","2.615,0","2.580,0","2.615,0","2.335,0","333,43M","2,15%"
"01 jul 2008","2.560,0","2.630,0","2.730,0","2.435,0","359,08M","-2,10%"
"01 jun 2008","2.615,0","2.785,0","2.860,0","2.555,0","331,02M","-6,94%"
"01 may 2008","2.810,0","2.600,0","2.980,0","2.600,0","663,23M","8,08%"
"01 abr 2008","2.600,0","2.090,0","2.690,0","2.000,0","525,22M","24,40%"
"01 mar 2008","2.090,0","1.990,0","2.150,0","1.910,0","356,05M","3,98%"
"01 feb 2008","2.010,0","1.780,0","2.010,0","1.680,0","411,07M","13,88%"
"01 ene 2008","1.765,0","2.015,0","2.035,0","1.500,0","404,07M","-12,62%"
"01 dic 2007","2.020,0","1.960,0","2.080,0","1.855,0","357,71M","0,50%"
